	SampleID	Phylum	RA	Comparts	TreatmentID	Treatment
173	ExsC1	Deltaproteobacteria	0	Seed_endosphere	Xs1	Xs
174	ExsC1	Gemmatimonadetes	0	Seed_endosphere	Xs1	Xs
175	ExsC1	Firmicutes	0.344036697	Seed_endosphere	Xs1	Xs
176	ExsC1	Bacteroidetes	0.114678899	Seed_endosphere	Xs1	Xs
177	ExsC1	Acidobacteria	0	Seed_endosphere	Xs1	Xs
178	ExsC1	Ignavibacteriae	0	Seed_endosphere	Xs1	Xs
179	ExsC1	Nitrospirae	0	Seed_endosphere	Xs1	Xs
180	ExsC1	Low_Abundance	0	Seed_endosphere	Xs1	Xs
181	ExsC2	Gammaproteobacteria	33.02752294	Seed_endosphere	Xs2	Xs
182	ExsC2	Betaproteobacteria	21.44495413	Seed_endosphere	Xs2	Xs
183	ExsC2	Actinobacteria	33.60091743	Seed_endosphere	Xs2	Xs
184	ExsC2	Alphaproteobacteria	10.66513761	Seed_endosphere	Xs2	Xs
185	ExsC2	Deltaproteobacteria	0	Seed_endosphere	Xs2	Xs
186	ExsC2	Gemmatimonadetes	0	Seed_endosphere	Xs2	Xs
187	ExsC2	Firmicutes	0.344036697	Seed_endosphere	Xs2	Xs
188	ExsC2	Bacteroidetes	0.114678899	Seed_endosphere	Xs2	Xs
189	ExsC2	Acidobacteria	0.114678899	Seed_endosphere	Xs2	Xs
190	ExsC2	Ignavibacteriae	0	Seed_endosphere	Xs2	Xs
191	ExsC2	Nitrospirae	0	Seed_endosphere	Xs2	Xs
192	ExsC2	Low_Abundance	0.688073394	Seed_endosphere	Xs2	Xs
193	ExsC3	Gammaproteobacteria	37.2706422	Seed_endosphere	Xs3	Xs
194	ExsC3	Betaproteobacteria	16.28440367	Seed_endosphere	Xs3	Xs
195	ExsC3	Actinobacteria	38.76146789	Seed_endosphere	Xs3	Xs
196	ExsC3	Alphaproteobacteria	7.110091743	Seed_endosphere	Xs3	Xs
197	ExsC3	Deltaproteobacteria	0	Seed_endosphere	Xs3	Xs
198	ExsC3	Gemmatimonadetes	0	Seed_endosphere	Xs3	Xs
199	ExsC3	Firmicutes	0.344036697	Seed_endosphere	Xs3	Xs
200	ExsC3	Bacteroidetes	0.114678899	Seed_endosphere	Xs3	Xs
201	ExsC3	Acidobacteria	0	Seed_endosphere	Xs3	Xs
202	ExsC3	Ignavibacteriae	0	Seed_endosphere	Xs3	Xs
203	ExsC3	Nitrospirae	0	Seed_endosphere	Xs3	Xs
204	ExsC3	Low_Abundance	0.114678899	Seed_endosphere	Xs3	Xs
205	ExsC4	Gammaproteobacteria	32.79816514	Seed_endosphere	Xs4	Xs
206	ExsC4	Betaproteobacteria	19.38073394	Seed_endosphere	Xs4	Xs
207	ExsC4	Actinobacteria	44.49541284	Seed_endosphere	Xs4	Xs
208	ExsC4	Alphaproteobacteria	1.949541284	Seed_endosphere	Xs4	Xs
209	ExsC4	Deltaproteobacteria	0	Seed_endosphere	Xs4	Xs
210	ExsC4	Gemmatimonadetes	0	Seed_endosphere	Xs4	Xs
